BAR2015,BAR2016,BAR2017,BBR2015,BBR2016,BBR2017,,,
0,0,0,10,0,0,,,
0,0,0,0,0,0,,,
0,0,0,0,0,0,,,
0,2,0,10,0,0,,,
0,3,0,0,0,0,,,
0,0,0,0,0,0,,,
0,0,0,0,0,0,,,
0,0,0,0,0,0,,,
0,0,0,0,0,0,,,
0,0,0,0,20,0,,,
0,13,0,0,0,0,,,
5,0,0,0,0,0,,,
10,7,0,0,0,0,,,
0,15,0,0,0,0,,,
0,0,0,10,0,0,,,
0,0,0,0,0,0,,,
0,0,0,5,0,0,,,
0,0,10,5,0,0,,,
0,0,25,0,0,25,,,
0,0,20,0,5,0,,,
0,0,0,0,0,25,,,
0,0,0,0,0,0,,,
15,0,0,0,0,0,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
5,0,0,30,0,,,,
0,0,0,0,0,,,,
0,20,0,0,0,,,,
0,0,0,0,5,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
5,0,0,0,0,,,,
0,0,0,0,0,,,,
25,0,5,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,20,,,,
0,10,0,0,0,,,,
0,5,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,75,0,,,,
0,0,20,0,0,,,,
0,0,0,0,0,,,,
0,0,0,5,0,,,,
0,0,15,0,0,,,,
0,0,0,0,5,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
10,0,0,0,0,,,,
0,5,0,0,50,,,,
5,0,0,0,0,,,,
0,0,0,0,5,,,,
0,0,0,0,5,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,20,0,,,,
0,0,0,0,0,,,,
0,0,5,0,25,,,,
0,0,0,0,75,,,,
0,0,0,150,5,,,,
0,0,0,0,5,,,,
0,0,0,0,10,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,20,0,0,5,,,,
0,0,0,5,0,,,,
0,0,0,175,0,,,,
0,15,0,5,0,,,,
0,0,0,0,0,,,,
0,0,0,90,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
20,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,0,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
800,0,0,0,,,,,
0,0,0,0,,,,,
10,0,0,0,,,,,
0,25,0,0,,,,,
25,200,0,0,,,,,
0,0,0,0,,,,,
20,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
60,0,0,0,,,,,
75,0,0,0,,,,,
20,5,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,15,0,5,,,,,
0,0,0,5,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,5,,,,,
0,30,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,3,0,,,,,
0,0,5,0,,,,,
0,0,0,0,,,,,
0,0,0,5,,,,,
0,0,0,0,,,,,
0,25,0,0,,,,,
0,0,0,5,,,,,
0,0,0,15,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,15,,,,,
0,10,0,10,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,15,,,,,
0,0,0,0,,,,,
0,0,0,0,,,,,
25,0,0,0,,,,,
0,0,0,0,,,,,
10,0,0,0,,,,,
0,0,0,0,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
5,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
5,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
25,0,0,,,,,,
20,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
20,0,0,,,,,,
0,0,0,,,,,,
15,0,0,,,,,,
10,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
15,0,0,,,,,,
0,0,0,,,,,,
25,0,0,,,,,,
10,0,0,,,,,,
10,0,0,,,,,,
15,0,0,,,,,,
15,0,15,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
25,0,0,,,,,,
0,0,0,,,,,,
0,5,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,10,,,,,,
0,0,5,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,5,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,20,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,20,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,20,0,,,,,,
0,0,0,,,,,,
0,15,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,5,0,,,,,,
0,10,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,10,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,6,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,1,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,3,,,,,,
0,0,0,,,,,,
20,0,0,,,,,,
0,10,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,7,,,,,,
0,0,3,,,,,,
0,0,10,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,5,,,,,,
0,0,0,,,,,,
0,0,25,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
5,5,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
10,0,0,,,,,,
0,0,0,,,,,,
0,15,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
0,0,0,,,,,,
75,0,0,,,,,,
0,0,0,,,,,,
0,0,,,,,,,
0,0,,,,,,,
