cuarto,BBR2015,,
2015,0,,
2015,56,,
2015,76,,
2015,32,,
2015,32,,
2015,20,,
2015,4,,
2015,52,,
2015,80,,
2015,116,,
2015,20,,
2015,28,,
2015,64,,
2015,40,,
2015,16,,
2015,16,,
2015,16,,
2015,76,,
2015,20,,
2015,16,,
2015,40,,
2015,28,,
2015,12,,
2015,36,,
2015,36,,
2015,36,,
2015,36,,
2015,12,,
2015,12,,
2015,80,,
2015,12,,
2015,40,,
2015,32,,
2015,0,,
2015,60,,
2015,64,,
2015,60,,
2015,48,,
2015,0,,
2015,4,,
2015,100,,
2015,60,,
2015,0,,
2015,0,,
2015,56,,
2015,0,,
2015,24,,
2015,24,,
2015,68,,
2015,216,,
2015,204,,
2015,236,,
2015,36,,
2015,4,,
2015,8,,
2015,4,,
2015,24,,
2015,56,,
2015,44,,
2015,28,,
2015,80,,
2015,68,,
2015,16,,
2015,60,,
2015,12,,
2015,32,,
2015,40,,
2015,72,,
2015,52,,
2015,92,,
2015,48,,
2015,160,,
2015,12,,
2015,8,,
2015,44,,
2015,188,,
2015,164,,
2015,76,,
2015,24,,
2015,60,,
2015,200,,
2015,28,,
2015,12,,
2015,0,,
2015,40,,
2015,124,,
2015,16,,
2015,56,,
2015,84,,
2015,188,,
2015,92,,
2015,96,,
2015,228,,
2015,52,,
2015,20,,
2015,0,,
2015,56,,
2015,96,,
2015,44,,
2015,40,,
2015,0,,
2015,16,,
2015,140,,
2015,120,,
2015,60,,
2015,48,,
2015,368,,
2015,884,,
2015,212,,
2015,316,,
2015,316,,
2015,176,,
2015,192,,
2015,200,,
2015,132,,
2015,28,,
2015,48,,
2015,68,,
2015,28,,
2015,36,,
2015,332,,
2015,56,,
2015,44,,
2015,28,,
2015,52,,
2015,40,,
2015,308,,
2015,8,,
2015,20,,
2015,16,,
2015,32,,
2015,72,,
2015,176,,
2015,124,,
2015,20,,
2015,0,,
2015,96,,
2015,36,,
2015,32,,
2015,32,,
2015,52,,
2015,32,,
2015,164,,
2015,40,,
2015,116,,
2015,160,,
2015,88,,
2015,108,,
2015,80,,
2015,152,,
2015,112,,
2015,0,,
2015,96,,
2015,88,,
2015,8,,
2015,20,,
2015,40,,
2015,36,,
2015,64,,
2015,16,,
2015,48,,
2015,16,,
2015,44,,
2015,60,,
2015,44,,
2015,48,,
2015,24,,
2015,108,,
2015,24,,
2015,8,,
2015,72,,
2015,12,,
2015,44,,
2015,12,,
2015,12,,
2015,48,,
2015,16,,
2015,72,,
2015,60,,
2015,64,,
2015,8,,
2015,12,,
2015,16,,
2015,24,,
2015,24,,
2015,4,,
2015,4,,
2015,4,,
2015,4,,
2015,24,,
2015,24,,
2015,24,,
2015,40,,
2015,64,,
2015,32,,
2015,28,,
2015,16,,
2015,44,,
2015,24,,
2015,12,,
2015,4,,
2015,20,,
2015,72,,
2015,48,,
2015,4,,
2015,28,,
2015,16,,
2015,4,,
2015,16,,
2015,0,,
2015,60,,
2015,44,,
2015,16,,
2015,56,,
2015,8,,
2015,48,,
2015,48,,
2015,24,,
2015,256,,
2015,44,,
2015,44,,
2015,44,,
2015,28,,
2015,20,,
2015,32,,
2015,44,,
2015,0,,
2015,12,,
2015,24,,
2015,208,,
2015,4,,
2015,72,,
2015,0,,
2015,24,,
2015,12,,
2015,204,,
